2023-12-12 01:53:02.649436	https://www.encodeproject.org/report/?type=Annotation&encyclopedia_version=current&annotation_type=candidate+Cis-Regulatory+Elements&annotation_type=chromatin+state&annotation_type=representative+DNase+hypersensitivity+sites&status=released&software_used.software.name=chromhmm&limit=all
ID	Accession	Targets	Target	Biosample term name	Description	Lab	Project	Status	Organism	Life stage	Age	Age units	Software used	Annotation treatment
/annotations/ENCSR666DKJ/	ENCSR666DKJ			natural killer cell	ChromHMM 18-state model of BSS01355: natural killer cell male adult (37 years) from donor(s) ENCDO028NGF	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	37	year	chromhmm	
/annotations/ENCSR360HWK/	ENCSR360HWK			renal cortex interstitium	ChromHMM 18-state model of BSS01487: renal cortex interstitium male embryo (113 days) from donor(s) ENCDO608XKS	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	113	day	chromhmm	
/annotations/ENCSR854QJQ/	ENCSR854QJQ			NAMALWA	ChromHMM 18-state model of BSS01351: NAMALWA treated with Sendai virus for 2 hours from donor(s) ENCDO993XLR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR361DUO/	ENCSR361DUO			small intestine	ChromHMM 18-state model of BSS01601: small intestine male embryo (108 days) from donor(s) ENCDO119ASK,ENCDO132ASK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR173FFH/	ENCSR173FFH			muscle of arm	ChromHMM 18-state model of BSS01294: muscle of arm female embryo (98 days) from donor(s) ENCDO837QWL	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	98	day	chromhmm	
/annotations/ENCSR229MRF/	ENCSR229MRF			middle frontal gyrus	ChromHMM 18-state model of BSS01273: middle frontal gyrus male adult (78 years) from donor(s) ENCDO317XRR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	78	year	chromhmm	
/annotations/ENCSR380VLY/	ENCSR380VLY			muscle of back	ChromHMM 18-state model of BSS01309: muscle of back female embryo (98 days) from donor(s) ENCDO837QWL	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	98	day	chromhmm	
/annotations/ENCSR107XEB/	ENCSR107XEB			left lung	ChromHMM 18-state model of BSS01140: left lung female embryo (110 days) from donor(s) ENCDO087TLK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	110	day	chromhmm	
/annotations/ENCSR805XNI/	ENCSR805XNI			right kidney	ChromHMM 18-state model of BSS01509: right kidney female embryo (107 days) from donor(s) ENCDO607LOS	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	107	day	chromhmm	
/annotations/ENCSR976DTQ/	ENCSR976DTQ			upper lobe of left lung	ChromHMM 18-state model of BSS01870: upper lobe of left lung female adult (53 years) from donor(s) ENCDO793LXB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	53	year	chromhmm	
/annotations/ENCSR622WHO/	ENCSR622WHO			right atrium auricular region	ChromHMM 18-state model of BSS01507: right atrium auricular region female adult (53 years) from donor(s) ENCDO793LXB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	53	year	chromhmm	
/annotations/ENCSR563ZAD/	ENCSR563ZAD			muscle of arm	ChromHMM 18-state model of BSS01293: muscle of arm female embryo (85 days) from donor(s) ENCDO527XLA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	85	day	chromhmm	
/annotations/ENCSR148AJV/	ENCSR148AJV			uterus	ChromHMM 18-state model of BSS01884: uterus female adult (53 years) from donor(s) ENCDO793LXB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	53	year	chromhmm	
/annotations/ENCSR072ZGM/	ENCSR072ZGM			LNCaP clone FGC	ChromHMM 18-state model of BSS01173: LNCaP clone FGC from donor(s) ENCDO000ACX	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR531TPL/	ENCSR531TPL			tibial nerve	ChromHMM 18-state model of BSS01842: tibial nerve male adult (37 years) from donor(s) ENCDO845WKR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	37	year	chromhmm	
/annotations/ENCSR261SPE/	ENCSR261SPE			right kidney	ChromHMM 18-state model of BSS01514: right kidney male embryo (108 days) from donor(s) ENCDO119ASK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	108	day	chromhmm	
/annotations/ENCSR371JWY/	ENCSR371JWY			skeletal muscle tissue	ChromHMM 18-state model of BSS01577: skeletal muscle tissue from donor(s) ENCDO654YBK	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR073WLJ/	ENCSR073WLJ			stomach	ChromHMM 18-state model of BSS01638: stomach female adult (51 year) from donor(s) ENCDO271OUW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	51	year	chromhmm	
/annotations/ENCSR052NHD/	ENCSR052NHD			stomach	ChromHMM 18-state model of BSS01639: stomach female adult (53 years) from donor(s) ENCDO793LXB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	53	year	chromhmm	
/annotations/ENCSR320QYS/	ENCSR320QYS			stomach	ChromHMM 18-state model of BSS01658: stomach male embryo (91 day) from donor(s) ENCDO375VTO	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	91	day	chromhmm	
/annotations/ENCSR965UFJ/	ENCSR965UFJ			right hindlimb	ChromHMM 18-state model of BSS01154: leg bone male embryo (81 day) from donor(s) ENCDO184UZW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	81	day	chromhmm	
/annotations/ENCSR187DIE/	ENCSR187DIE			substantia nigra	ChromHMM 18-state model of BSS01675: substantia nigra female adult (75 years) from donor(s) ENCDO871IWW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	75	year	chromhmm	
/annotations/ENCSR842QXY/	ENCSR842QXY			T-cell	ChromHMM 18-state model of BSS01687: T-cell male adult (21 year) from donor(s) ENCDO190HXC	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	21	year	chromhmm	
/annotations/ENCSR807RAJ/	ENCSR807RAJ			mucosa of stomach	ChromHMM 18-state model of BSS01284: mucosa of stomach male adult (59 years) from donor(s) ENCDO895TFL	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	59	year	chromhmm	
/annotations/ENCSR474RXN/	ENCSR474RXN			thymus	ChromHMM 18-state model of BSS01821: thymus female embryo (113 days) from donor(s) ENCDO676JUB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	embryonic	113	day	chromhmm	
/annotations/ENCSR119DFL/	ENCSR119DFL			thoracic aorta	ChromHMM 18-state model of BSS01814: thoracic aorta male adult (37 years) from donor(s) ENCDO845WKR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	37	year	chromhmm	
/annotations/ENCSR123YVX/	ENCSR123YVX			testis	ChromHMM 18-state model of BSS01719: testis male embryo from donor(s) ENCDO482LIM,ENCDO836UAR	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR672ANT/	ENCSR672ANT			coronary artery	ChromHMM 18-state model of BSS00242: coronary artery female adult (51 year) from donor(s) ENCDO271OUW	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	51	year	chromhmm	
/annotations/ENCSR332XCW/	ENCSR332XCW			UCSF-4	ChromHMM 18-state model of BSS01866: UCSF-4 from donor(s) ENCDO499GAU	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR125JAQ/	ENCSR125JAQ			22Rv1	ChromHMM 18-state model of BSS00001: 22Rv1 from donor(s) ENCDO719HIY	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR663KYP/	ENCSR663KYP			CD8-positive, alpha-beta T cell	ChromHMM 18-state model of BSS00194: CD8-positive_ alpha-beta T cell from donor(s) ENCDO688UWB_ENCDO922CEJ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR218OTI/	ENCSR218OTI			parathyroid adenoma	ChromHMM 18-state model of BSS01412: Parathyroid adenoma male adult (65 years) from donor(s) ENCDO371NVV	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	65	year	chromhmm	
/annotations/ENCSR528VLS/	ENCSR528VLS			ovary	ChromHMM 18-state model of BSS01403: ovary female embryo from donor(s) ENCDO927DEI	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR089QIL/	ENCSR089QIL			Panc1	ChromHMM 18-state model of BSS01405: Panc1 from donor(s) ENCDO000ABB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR487BGT/	ENCSR487BGT			CD4-positive, CD25-positive, alpha-beta regulatory T cell	ChromHMM 18-state model of BSS00192: CD4-positive_ CD25-positive_ alpha-beta regulatory T cell from donor(s) ENCDO194EHQ_ENCDO779YRY	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR864PEC/	ENCSR864PEC			pancreas	ChromHMM 18-state model of BSS01406: pancreas female adult (30 years) from donor(s) ENCDO424HVB	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	30	year	chromhmm	
/annotations/ENCSR807IAW/	ENCSR807IAW			hematopoietic multipotent progenitor cell	ChromHMM 18-state model of BSS00543: hematopoietic multipotent progenitor cell from donor(s) ENCDO116AAA,ENCDO579CCQ,ENCDO937OUY	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR967IXN/	ENCSR967IXN			CD8-positive, alpha-beta T cell	ChromHMM 18-state model of BSS00196: CD8-positive_ alpha-beta T cell female adult (34 years) from donor(s) ENCDO579CCQ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	34	year	chromhmm	
/annotations/ENCSR103ZFL/	ENCSR103ZFL			PC-3	ChromHMM 18-state model of BSS01414: PC-3 from donor(s) ENCDO349AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR815IHL/	ENCSR815IHL			peripheral blood mononuclear cell	ChromHMM 18-state model of BSS01421: peripheral blood mononuclear cell male adult (28 years) from donor(s) ENCDO273TST	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	28	year	chromhmm	
/annotations/ENCSR314ZUY/	ENCSR314ZUY			CD8-positive, alpha-beta T cell	ChromHMM 18-state model of BSS00200: CD8-positive_ alpha-beta T cell male adult (37 years) from donor(s) ENCDO028NGF	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	37	year	chromhmm	
/annotations/ENCSR075JST/	ENCSR075JST			hepatocyte	ChromHMM 18-state model of BSS00554: hepatocyte from donor(s) ENCDO102AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR279FUS/	ENCSR279FUS			placenta	ChromHMM 18-state model of BSS01435: placenta female embryo (101 day) and male embryo (105 days) from donor(s) ENCDO005BVN,ENCDO060OTP	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR272GYW/	ENCSR272GYW			keratinocyte	ChromHMM 18-state model of BSS01068: keratinocyte female from donor(s) ENCDO268AAA,ENCDO302AAA	Manolis Kellis, Broad	ENCODE	released	Homo sapiens				chromhmm	
/annotations/ENCSR676YXS/	ENCSR676YXS			common myeloid progenitor, CD34-positive	ChromHMM 18-state model of BSS00237: common myeloid progenitor_ CD34-positive male adult (36 years) from donor(s) ENCDO441UHQ	Manolis Kellis, Broad	ENCODE	released	Homo sapiens	adult	36	year	chromhmm	
